County,TotalPopulation,Men,Women,%Hispanic,%White,%Black,%Native,%Asian,%Pacific,Over18,AverageIncome(thousand),%Poverty,Professional,Service,Office,Construction,Production,WorkAtHome,Employed,PrivateWork,PublicWork,SelfEmployed,%UnemploymentRate
Los Angeles,10105722,4979641,5126081,48.4,26.5,7.9,0.2,14.3,0.2,6218279,61015,17,36.4,19,24.1,7.6,12.8,5.3,4805817,79.3,11.2,9.3,7.8
San Diego,3283665,1651147,1632518,33.4,46.2,4.7,0.4,11.5,0.4,2207599,70588,13.3,41.3,19.6,23,7.6,8.4,7,1536073,77.8,14.2,7.8,7.1
Orange,3155816,1558245,1597571,34.2,41.4,1.6,0.2,19.5,0.3,2021028,81851,12.1,40.9,17.5,24.8,6.6,10.2,5.6,1560997,82,10.1,7.7,5.8
Riverside,2355002,1171711,1183291,48,36.6,6,0.4,6.1,0.3,1487322,60807,15.6,29.4,21.4,24.6,11.4,13.2,5.2,978726,77.7,14.7,7.5,9.9
San Bernardino,2121220,1055170,1066050,52.3,29.8,8,0.3,6.7,0.3,1332784,57156,18.2,29,18.8,25.4,10.1,16.7,4.7,869658,77.3,16.2,6.4,9.9
Santa Clara,1911226,963317,947909,26.1,32.6,2.4,0.2,34.9,0.3,1162019,106761,8.6,52.1,15.1,18.6,6.3,7.9,4.8,967294,84.7,9.3,5.9,5.7
Alameda,1629615,799649,829966,22.5,32.2,10.7,0.3,28.7,0.8,1056116,85743,11.3,48,16,20.4,6.4,9.2,6,826310,79.3,13.2,7.3,6
Sacramento,1495400,730680,764720,22.8,45.7,9.5,0.4,15.1,1.1,1013094,60239,16.7,38.4,19.6,24.8,7.9,9.3,5.5,666790,71.5,21.3,6.9,8.8
Contra Costa,1123678,548675,575003,25.3,44.9,8.3,0.2,15.8,0.5,743847,88456,9.8,43,18,23.1,7.9,7.9,6.3,535401,78,13.4,8.4,6.9
